City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
480,scarborough,54.2797,-0.4044,17.76,94,100,1.79,GB,1720570340
481,jalgaon jamod,21.0486,76.5344,24.86,89,100,4.49,IN,1720570340
482,novo aripuana,-5.1206,-60.3797,27.07,52,2,1.04,BR,1720570341
483,zhangjiakou,40.81,114.8794,23.87,64,100,0.61,CN,1720570342
484,srivardhan,18.0333,73.0167,25.32,89,94,3.05,IN,1720570343
485,shaowu,27.3409,117.4831,29.33,68,98,0.82,CN,1720570344
486,kisangani,0.5167,25.2,23.51,85,67,1.08,CD,1720570344
487,al ghayzah,16.2079,52.176,26.63,91,95,3.03,YE,1720570345
488,patur,20.45,76.9333,24.9,92,100,3.76,IN,1720570346
489,luanda,-8.8368,13.2343,19.17,92,4,3.44,AO,1720570347
490,knyaze-volkonskoye,48.4642,135.4567,16.19,81,100,1.86,RU,1720570348
491,fortuna,40.5982,-124.1573,18.51,88,0,6.17,US,1720570348
492,mwanza,-2.5167,32.9,21.53,72,77,1.96,TZ,1720570349
493,pisco,-13.7,-76.2167,17.03,82,0,4.63,PE,1720570350
494,coihueco,-36.6167,-71.8333,0.41,100,100,3.6,CL,1720570351
495,guadalupe y calvo,26.1,-106.9667,22.88,41,100,2.16,MX,1720570351
496,zhanaozen,43.3,52.8,29.15,31,0,3.82,KZ,1720570352
497,amreli,21.6167,71.2333,27.22,83,100,5.46,IN,1720570353
498,bodo,67.28,14.405,11.02,82,75,5.66,NO,1720570354
499,thinadhoo,0.5333,72.9333,28.38,73,46,1.84,MV,1720570355
500,salmon arm,50.6998,-119.3024,40.24,46,1,1.03,CA,1720570356
501,puerto colombia,10.9878,-74.9547,30.05,85,30,6.42,CO,1720570357
502,at-bashi,41.1702,75.8106,11.58,67,74,0.42,KG,1720570358
503,ciudad lazaro cardenas,17.9583,-102.2,27.95,74,99,2.73,MX,1720570358
504,bikenibeu village,1.3673,173.1241,30.98,74,20,3.09,KI,1720570264
505,worthington,40.0931,-83.018,30.03,61,0,3.6,US,1720570360
506,homer,59.6425,-151.5483,15.94,63,100,2.57,US,1720570361
507,harper,4.375,-7.7169,24.41,84,100,5.31,LR,1720570362
508,volterra,43.4003,10.86,20.27,64,4,0.19,IT,1720570362
509,igrim,63.1906,64.4162,18.24,65,29,1.18,RU,1720570363
510,yuzhno-kurilsk,44.0306,145.8556,16.08,95,100,1.14,RU,1720570364
511,djamaa,33.5339,5.9931,37.5,10,9,5.09,DZ,1720570365
512,falmouth,50.1544,-5.0711,15.5,94,100,5.66,GB,1720570366
513,hindupur,13.8289,77.4933,22.61,79,97,3.62,IN,1720570366
514,taroudant,30.4703,-8.877,19.68,69,0,1.66,MA,1720570367
515,griffith,41.5284,-87.4237,22.27,94,40,4.12,US,1720570368
516,vanimo,-2.6741,141.3028,29.14,69,99,1.98,PG,1720570369
517,zhangatas,43.5667,69.75,21.43,48,79,1.32,KZ,1720570369
518,ocean city,39.2776,-74.5746,28.14,83,100,2.24,US,1720570370
519,gemena,3.25,19.7667,20.92,99,84,1.13,CD,1720570371
520,kone,-21.0595,164.8658,26.17,57,67,4.09,NC,1720570372
521,mabamba,-3.5983,30.5019,19.42,52,71,0.06,TZ,1720570373
522,island harbour,50.724,-1.2758,16.23,67,32,2.68,GB,1720570373
523,sao joao da barra,-21.6403,-41.0511,22.67,91,71,2.8,BR,1720570374
524,al jubayl,27.0112,49.6583,34.99,52,22,5.16,SA,1720570375
